name,latency,read_uncached,write,price
Corsair CMX64GX3M8A1600C11 8GB,30,12075,9371,$299.99*
Corsair CMX6GX3M3A1600C9 2GB,25,13096,8351,$77.82
Corsair CMX6GX3M3B2000C9 2GB,26,11300,8357,NA
Corsair CMX6GX3M3C1600C7 2GB,22,15483,8718,NA
Corsair CMX8GX3M1A1333C9 8GB,28,11167,6790,$136.99
Corsair CMX8GX3M1A1600C11 8GB,28,12558,7549,$79.99
Corsair CMX8GX3M2A1333C9 4GB,26,12932,8003,$54.70
Corsair CMX8GX3M2A1600C11 4GB,26,13503,8814,$47.99*
Corsair CMX8GX3M2A1600C9 4GB,25,13884,8793,$96.99
Corsair CMX8GX3M2A1866C11 4GB,24,14255,10841,NA
Corsair CMX8GX3M2A2000C9 4GB,22,15068,10167,$99.99*
Corsair CMX8GX3M2B1600C9 4GB,25,14270,9024,$42.99*
Corsair CMX8GX3M4A1333C9 2GB,26,13251,8082,$37.99*
Corsair CMX8GX3M4A1600C9 2GB,24,14325,9306,$64.99*
Corsair CMX8GX3M4B1333C9 2GB,27,12038,8293,NA
Corsair CMY16GX3M2A1600C9 8GB,26,14349,9000,$86.99
Corsair CMY16GX3M2A1866C10 8GB,25,14805,8482,$120.99*
Corsair CMY16GX3M2A1866C9 8GB,25,15103,9749,$139.98*
Corsair CMY16GX3M2A2133C11 8GB,24,15552,10722,$136.99*
Corsair CMY16GX3M2A2133C9 8GB,21,16723,11370,$178.00*
Corsair CMY16GX3M2A2400C10 8GB,23,15636,10550,$189.99*
Corsair CMY16GX3M2A2400C11 8GB,23,16012,10960,$259.00*
Corsair CMY16GX3M2A2666C12 8GB,23,16180,10940,$194.99*
Corsair CMY16GX3M2B2133C11 8GB,24,14937,10047,$116.99*
Corsair CMY16GX3M2C1600C9 8GB,24,13055,7778,$119.99*
Corsair CMY16GX3M2C1866C10 8GB,25,13793,8646,$120.99*
Corsair CMY16GX3M2C2133C11 8GB,24,14776,9433,$88.99*
Corsair CMY16GX3M4A2133C8 4GB,20,17032,11548,NA
Corsair CMY16GX3M4A2133C9 4GB,20,17568,12532,NA
Corsair CMY16GX3M4A2666C12 4GB,25,14903,9350,$219.99*
Corsair CMY16GX3M4A2933C12 4GB,27,14205,8077,NA
Corsair CMY32GX3M4A1600C9 8GB,27,14282,9569,$176.99
Corsair CMY32GX3M4A1866C9 8GB,26,14175,10090,$159.99*
Corsair CMY32GX3M4A2133C11 8GB,25,14671,10577,$189.99*
