name,price,mark,value,single_thread,single_thread_value,tdp,powerperf,testdate,socket,category
Intel Pentium G3450T @ 2.90GHz,NA,2967,NA,1166,NA,35,84,Oct 2015,LGA1150,Desktop
Intel Pentium G3460 @ 3.50GHz,$288.20*,3588,12.45,2022,7.02,53,67,Sep 2014,LGA1150,Desktop
Intel Pentium G3470 @ 3.60GHz,$104.29*,3717,35.65,2133,20.46,53,70,May 2015,LGA1150,Desktop
Intel Pentium G4400 @ 3.30GHz,$112.29,3554,31.65,1878,16.73,54,65,Oct 2015,FCLGA1151,Desktop
Intel Pentium G4400T @ 2.90GHz,NA,3219,NA,1664,NA,35,91,Oct 2015,FCLGA1151,Desktop
Intel Pentium G4400TE @ 2.40GHz,$64.00*,2885,45.09,1387,21.67,35,82,Jun 2018,FCLGA1151,Laptop
Intel Pentium G4500 @ 3.50GHz,$97.91,3797,38.78,1971,20.13,51,74,Oct 2015,FCLGA1151,Desktop
Intel Pentium G4500T @ 3.00GHz,NA,3471,NA,1724,NA,35,99,Mar 2016,FCLGA1151,Desktop
Intel Pentium G4520 @ 3.60GHz,$106.78,4184,39.19,2079,19.47,51,82,Nov 2015,FCLGA1151,Desktop
Intel Pentium G4560 @ 3.50GHz,$99.99,4867,48.68,1985,19.85,54,90,Jan 2017,FCLGA1151,Desktop
Intel Pentium G4560T @ 2.90GHz,$109.99,4047,36.79,1676,15.24,35,115,Mar 2017,FCLGA1151,Desktop
Intel Pentium G4600 @ 3.60GHz,$94.45,5088,53.87,2058,21.80,51,99,Jan 2017,FCLGA1151,Desktop
Intel Pentium G4600T @ 3.00GHz,$177.28*,4272,24.10,1753,9.89,35,122,Apr 2017,FCLGA1151,Desktop
Intel Pentium G4620 @ 3.70GHz,$113.66*,5204,45.79,2132,18.76,51,102,Jan 2017,FCLGA1151,Desktop
Intel Pentium G620 @ 2.60GHz,$39.99,2293,57.35,1327,33.19,65,35,May 2011,LGA1155,Desktop
Intel Pentium G620T @ 2.20GHz,$79.99*,2028,25.36,1137,14.22,35,57,Jul 2011,LGA1155,Desktop
Intel Pentium G630 @ 2.70GHz,$24.99,2371,94.92,1381,55.30,65,36,Nov 2011,LGA1155,Desktop
Intel Pentium G630T @ 2.30GHz,$79.99*,2089,26.12,1163,14.55,35,59,Oct 2011,LGA1155,Desktop
Intel Pentium G640 @ 2.80GHz,$24.99,2530,101.27,1444,57.79,65,38,Jul 2012,LGA1155,Desktop
Intel Pentium G640T @ 2.40GHz,NA,1952,NA,1204,NA,35,55,Jan 2012,LGA1155,Desktop
Intel Pentium G645 @ 2.90GHz,$95.00*,2587,27.23,1485,15.63,65,39,Jan 2012,LGA1155,Desktop
Intel Pentium G645T @ 2.50GHz,NA,2288,NA,1280,NA,35,65,Jan 2012,LGA1155,Desktop
Intel Pentium G6950 @ 2.80GHz,$9.79,1859,189.89,1111,113.55,73,25,Jan 2010,LGA1156,Desktop
Intel Pentium G6951 @ 2.80GHz,$94.00*,2140,22.77,1144,12.17,73,29,Jan 2011,LGA1156,Desktop
Intel Pentium G6960 @ 2.93GHz,NA,2083,NA,1212,NA,73,28,Feb 2011,LGA1156,Desktop
Intel Pentium G840 @ 2.80GHz,$34.99*,2561,73.22,1458,41.69,65,39,Jun 2011,FCLGA1155,Desktop
Intel Pentium G850 @ 2.90GHz,$29.99,2664,88.83,1501,50.06,65,40,May 2011,FCLGA1155,Desktop
Intel Pentium G860 @ 3.00GHz,$82.99,2741,33.03,1548,18.66,65,42,Nov 2011,FCLGA1155,Desktop
Intel Pentium G870 @ 3.10GHz,$97.00*,2824,29.12,1605,16.55,65,43,Sep 2012,FCLGA1155,Desktop
Intel Pentium Gold G5400 @ 3.70GHz,$202.22,5188,25.66,2181,10.79,54,96,Apr 2018,FCLGA1151,Desktop
Intel Pentium Gold G5400T @ 3.10GHz,$64.00*,5048,78.89,1870,29.23,35,144,Oct 2018,FCLGA1151,Server
Intel Pentium Gold G5500 @ 3.80GHz,$125.41,5241,41.79,2192,17.48,54,97,May 2018,FCLGA1151,Desktop
Intel Pentium Gold G5500T @ 3.20GHz,$75.00*,4218,56.24,1816,24.21,35,120,May 2018,FCLGA1151,Desktop
Intel Pentium Gold G5600 @ 3.90GHz,$173.83,5681,32.69,2270,13.06,54,105,May 2018,FCLGA1151,Desktop
Intel Pentium III 1133 @ 1133MHz,NA,284,NA,NA,NA,29.1,9,Jul 2010,Socket 370,Desktop
Intel Pentium III 1200 @ 1200MHz,NA,278,NA,NA,NA,29.9,9,Mar 2009,Socket 370,Desktop
Intel Pentium III 1266S @ 1266MHz,NA,309,NA,NA,NA,30.4,10,May 2009,Socket 370,Desktop
Intel Pentium III 1400 @ 1400MHz,NA,297,NA,418,NA,31.2,9,Aug 2009,Socket 370,Desktop
Intel Pentium III 1400S @ 1400MHz,NA,299,NA,427,NA,32.2,9,Jul 2009,Socket 370,Desktop
Intel Pentium III 933S @ 933MHz,NA,238,NA,NA,NA,27.3,8,Jul 2009,Socket 370,Desktop
Intel Pentium III Mobile 1000MHz,NA,245,NA,NA,NA,NA,NA,May 2009,NA,Laptop
Intel Pentium III Mobile 1066MHz,NA,246,NA,323,NA,NA,NA,Mar 2009,NA,Laptop
Intel Pentium III Mobile 1133MHz,NA,251,NA,334,NA,NA,NA,Mar 2009,NA,Laptop
Intel Pentium III Mobile 1200MHz,NA,240,NA,332,NA,NA,NA,Feb 2009,NA,Laptop
Intel Pentium III Mobile 750MHz,NA,103,NA,NA,NA,NA,NA,Aug 2009,NA,Laptop
Intel Pentium III Mobile 800MHz,NA,182,NA,237,NA,NA,NA,Apr 2009,NA,Laptop
Intel Pentium III Mobile 866MHz,NA,152,NA,202,NA,NA,NA,Apr 2009,NA,Laptop
Intel Pentium III Mobile 933MHz,$28.99*,218,7.55,NA,NA,NA,NA,Apr 2009,NA,Laptop
Intel Pentium J2850 @ 2.41GHz,NA,1839,NA,548,NA,10,183,May 2014,FCBGA1170,Desktop
Intel Pentium J2900 @ 2.41GHz,NA,1963,NA,590,NA,10,196,Feb 2014,FCBGA1170,Desktop
Intel Pentium J3710 @ 1.60GHz,NA,1921,NA,584,NA,6.5,295,May 2016,NA,Desktop
Intel Pentium J4205 @ 1.50GHz,NA,2302,NA,868,NA,10,230,Oct 2016,FCBGA1296,Desktop
Intel Pentium M 1.10GHz,NA,282,NA,335,NA,NA,NA,Mar 2009,NA,Unknown
Intel Pentium M 1.20GHz,NA,298,NA,379,NA,NA,NA,Dec 2008,NA,Unknown
Intel Pentium M 1.30GHz,NA,301,NA,384,NA,22,13,Feb 2009,"H-PBGA479, PPG",Laptop
Intel Pentium M 1.40GHz,NA,345,NA,425,NA,22,15,Dec 2008,"H-PBGA479, PPG",Laptop
Intel Pentium M 1.50GHz,NA,366,NA,460,NA,24.5,14,Feb 2009,"H-PBGA479, PPG",Laptop
Intel Pentium M 1.60GHz,NA,364,NA,463,NA,24.5,14,Nov 2008,"H-PBGA479, PPG",Laptop
Intel Pentium M 1.70GHz,NA,406,NA,521,NA,24.5,16,Dec 2008,"H-PBGA479, PPG",Laptop
Intel Pentium M 1.73GHz,NA,412,NA,516,NA,27,15,Jan 2009,"H-PBGA479, PPGA4",Laptop
Intel Pentium M 1.80GHz,NA,409,NA,520,NA,21,19,Dec 2008,"H-PBGA479, PPGA4",Laptop
Intel Pentium M 1.86GHz,NA,438,NA,551,NA,27,16,Feb 2009,"H-PBGA479, PPGA4",Laptop
Intel Pentium M 1000MHz,NA,233,NA,326,NA,7,33,Mar 2009,NA,Laptop
Intel Pentium M 1100MHz,NA,259,NA,NA,NA,12,21,Mar 2009,H-PBGA479,Laptop
Intel Pentium M 1200MHz,NA,237,NA,254,NA,12,19,Apr 2009,NA,Laptop
Intel Pentium M 1300MHz,NA,303,NA,416,NA,22,13,Feb 2009,"H-PBGA479, PPGA4",Laptop
Intel Pentium M 1400MHz,NA,321,NA,433,NA,22,14,Feb 2009,"H-PBGA479, PPGA4",Laptop
Intel Pentium M 1500MHz,NA,354,NA,486,NA,24.5,14,Feb 2009,"H-PBGA479, PPGA4",Laptop
Intel Pentium M 1600MHz,NA,332,NA,479,NA,24.5,13,Feb 2009,"H-PBGA479, PPGA4",Laptop
Intel Pentium M 1700MHz,NA,376,NA,529,NA,24.5,15,Mar 2009,"H-PBGA479, PPGA4",Laptop
Intel Pentium M 2.00GHz,NA,462,NA,583,NA,21,22,Feb 2009,"H-PBGA479, PPGA4",Laptop
Intel Pentium M 2.10GHz,NA,448,NA,543,NA,21,21,Feb 2009,"H-PBGA479, PPGA4",Laptop
Intel Pentium M 2.13GHz,NA,504,NA,637,NA,27,18,Feb 2009,"H-PBGA479, PPGA4",Laptop
Intel Pentium M 2.26GHz,NA,509,NA,635,NA,27,18,Mar 2009,"H-PBGA479, PPGA4",Laptop
Intel Pentium M 756 @ 1.66GHz,NA,484,NA,NA,NA,NA,NA,Mar 2010,NA,Unknown
Intel Pentium M 900MHz,NA,217,NA,307,NA,7,31,May 2009,NA,Laptop
Intel Pentium N3510 @ 1.99GHz,NA,1519,NA,430,NA,7.5,202,Dec 2013,FCBGA1170,Laptop
Intel Pentium N3520 @ 2.16GHz,NA,1806,NA,520,NA,7.5,240,Jan 2014,FCBGA1170,Laptop
Intel Pentium N3530 @ 2.16GHz,NA,1894,NA,553,NA,7.5,252,Jun 2014,FCBGA1170,Laptop
Intel Pentium N3540 @ 2.16GHz,$250.87*,1930,7.69,582,2.32,7.5,257,Oct 2014,FCBGA1170,Laptop
Intel Pentium N3700 @ 1.60GHz,$444.78*,1831,4.12,545,1.23,6,305,Apr 2015,FCBGA1170,Laptop
Intel Pentium N3710 @ 1.60GHz,NA,1861,NA,573,NA,6,310,Mar 2016,FCBGA1170,Laptop
Intel Pentium N4200 @ 1.10GHz,$223.66,2022,9.04,830,3.71,6,337,Nov 2016,FCBGA1296,Laptop
Intel Pentium P6000 @ 1.87GHz,NA,1245,NA,696,NA,35,35,Jun 2010,PGA988,Laptop
Intel Pentium P6100 @ 2.00GHz,$12.00*,1327,110.60,789,65.75,35,37,Sep 2010,PGA988,Laptop
Intel Pentium P6200 @ 2.13GHz,$44.95*,1347,29.98,814,18.12,35,38,Dec 2010,PGA988,Laptop
Intel Pentium P6300 @ 2.27GHz,NA,1380,NA,848,NA,35,39,May 2011,PGA988,Laptop
Intel Pentium Silver J5005 @ 1.50GHz,$219.92*,2904,13.21,1191,5.42,10,290,Dec 2017,FCBGA1090,Desktop
Intel Pentium Silver N5000 @ 1.10GHz,$161.00*,2434,15.12,1132,7.03,6,405,Mar 2018,FCBGA1090,Laptop
Intel Pentium SU2700 @ 1.30GHz,NA,405,NA,449,NA,10,40,Aug 2009,NA,Laptop
Intel Pentium SU4100 @ 1.30GHz,NA,858,NA,515,NA,10,85,Sep 2009,BGA956,Laptop
Intel Pentium T1080 @ 1.73GHz,NA,842,NA,NA,NA,NA,NA,Nov 2011,NA,Unknown
Intel Pentium T2060 @ 1.60GHz,NA,662,NA,511,NA,31,21,Dec 2008,PGA478,Laptop
Intel Pentium T2080 @ 1.73GHz,$159.95*,704,4.40,538,3.36,31,22,Dec 2008,PGA478,Laptop
Intel Pentium T2130 @ 1.86GHz,NA,710,NA,563,NA,31,22,Feb 2009,PGA478,Laptop
Intel Pentium T2310 @ 1.46GHz,NA,730,NA,499,NA,35,20,Dec 2008,PPGA478,Laptop
Intel Pentium T2330 @ 1.60GHz,NA,830,NA,561,NA,35,23,Feb 2009,PPGA478,Laptop
Intel Pentium T2370 @ 1.73GHz,$35.00*,841,24.04,575,16.44,35,24,Dec 2008,PPGA478,Laptop
Intel Pentium T2390 @ 1.86GHz,NA,945,NA,647,NA,35,27,Feb 2009,PPGA478,Laptop
Intel Pentium T2410 @ 2.00GHz,NA,978,NA,670,NA,NA,NA,Mar 2009,NA,Unknown
Intel Pentium T3200 @ 2.00GHz,$12.00*,1029,85.81,680,56.70,35,29,Feb 2009,PPGA478,Laptop
Intel Pentium T3400 @ 2.16GHz,$89.95*,1112,12.37,741,8.24,35,31,Feb 2009,PPGA478,Laptop
Intel Pentium T4200 @ 2.00GHz,$12.00*,1149,95.80,777,64.75,35,32,Mar 2009,PGA478,Laptop
Intel Pentium T4300 @ 2.10GHz,NA,1235,NA,810,NA,35,35,Aug 2009,PGA478,Laptop
Intel Pentium T4400 @ 2.20GHz,NA,1284,NA,847,NA,35,36,Dec 2011,PGA478,Laptop
Intel Pentium T4500 @ 2.30GHz,NA,1335,NA,882,NA,35,38,Feb 2010,PGA478,Laptop
Intel Pentium U5400 @ 1.20GHz,NA,812,NA,479,NA,18,45,Aug 2010,BGA1288,Laptop
Intel Pentium U5600 @ 1.33GHz,NA,943,NA,552,NA,18,52,Feb 2011,BGA1288,Laptop
Intel T1200 @ 1.50GHz,NA,435,NA,NA,NA,NA,NA,Apr 2009,NA,Unknown
Intel T1400 @ 1.73GHz,NA,929,NA,644,NA,NA,NA,Mar 2009,NA,Unknown
Intel T1500 @ 1.86GHz,NA,953,NA,660,NA,NA,NA,May 2009,NA,Unknown
Intel T2050 @ 2.00GHz,NA,959,NA,677,NA,31,30,Dec 2012,PPGA478,Unknown
Intel Xeon 1500MHz,NA,193,NA,NA,NA,NA,NA,May 2009,NA,Server
Intel Xeon 2.00GHz,NA,233,NA,398,NA,NA,NA,Feb 2009,NA,Server
Intel XEON 2.20GHz,NA,252,NA,540,NA,NA,NA,May 2009,NA,Server
Intel Xeon 2.40GHz,$9.10*,276,30.35,595,65.42,NA,NA,Mar 2009,NA,Server
Intel Xeon 2.66GHz,NA,435,NA,NA,NA,NA,NA,Mar 2009,NA,Server
Intel Xeon 2.80GHz,NA,400,NA,590,NA,103,3,Nov 2008,PPGA604,Server
Intel Xeon 3.00GHz,NA,391,NA,607,NA,103,3,Feb 2009,PPGA604,Server
Intel Xeon 3.06GHz,NA,491,NA,NA,NA,NA,NA,Feb 2009,NA,Server
Intel Xeon 3.20GHz,NA,461,NA,756,NA,103,4,Feb 2009,PPGA604,Server
Intel Xeon 3.40GHz,NA,478,NA,743,NA,103,4,Nov 2008,PPGA604,Server
Intel Xeon 3.60GHz,$851.00*,509,0.60,790,0.93,110,4,Mar 2009,PPGA604,Server
Intel Xeon 3.73GHz,NA,1041,NA,839,NA,NA,NA,May 2009,NA,Server
Intel Xeon 3.80GHz,$851.00*,604,0.71,914,1.07,110,5,Apr 2009,PPGA604,Server
Intel Xeon 3040 @ 1.86GHz,$25.04*,1284,51.31,741,29.61,65,19,Nov 2009,LGA775,Server
Intel Xeon 3050 @ 2.13GHz,$157.95*,1313,8.32,820,5.19,65,20,Feb 2009,LGA775,Server
Intel Xeon 3060 @ 2.40GHz,$22.99*,1518,66.07,852,37.08,65,23,Jul 2009,LGA775,Server
Intel Xeon 3065 @ 2.33GHz,$20.90*,1520,72.77,863,41.30,65,23,May 2009,LGA775,Server
Intel Xeon 3070 @ 2.66GHz,$408.95*,1776,4.34,1024,2.50,65,27,May 2010,LGA775,Server
Intel Xeon 3075 @ 2.66GHz,$349.95*,1840,5.26,1061,3.03,NA,NA,Feb 2011,NA,Server
Intel Xeon 3085 @ 3.00GHz,NA,1570,NA,1054,NA,65,24,Nov 2015,LGA775,Server
Intel Xeon 5110 @ 1.60GHz,$159.95*,1079,6.75,619,3.87,65,16,Mar 2009,LGA771,Server
Intel Xeon 5120 @ 1.86GHz,"$1,619.99",1248,0.77,721,0.45,65,19,Mar 2009,LGA771,Server
Intel Xeon 5130 @ 2.00GHz,$31.46,1369,43.53,768,24.42,65,21,Feb 2009,LGA771,Server
Intel Xeon 5133 @ 2.20GHz,NA,1598,NA,862,NA,40,39,Nov 2013,LGA771,Server
Intel Xeon 5140 @ 2.33GHz,$46.99*,1639,34.89,891,18.97,65,25,Mar 2009,LGA771,Server
Intel Xeon 5148 @ 2.33GHz,$13.13*,1590,121.17,899,68.53,40,39,Jan 2010,LGA771,Server
Intel Xeon 5150 @ 2.66GHz,$103.99*,1753,16.86,1023,9.85,65,26,Feb 2009,LGA771,Server
Intel Xeon 5160 @ 3.00GHz,$12.82*,1961,153.03,1137,88.73,80,24,Feb 2009,LGA771,Server
Intel Xeon @ 2.20GHz,NA,1902,NA,1573,NA,61,31,Mar 2018,PPGA603,Server
Intel Xeon Bronze 3104 @ 1.70GHz,$234.89,5664,24.11,973,4.14,85,66,Jan 2018,FCLGA3647,Server
Intel Xeon D-1518 @ 2.20GHz,NA,5322,NA,1030,NA,35,152,Jun 2016,FCBGA1667,Server
Intel Xeon D-1520 @ 2.20GHz,NA,5755,NA,1021,NA,45,127,Nov 2015,BGA 1667,Server
Intel Xeon D-1521 @ 2.40GHz,NA,6980,NA,1441,NA,45,155,Feb 2016,FCBGA1667,Server
Intel Xeon D-1528 @ 1.90GHz,NA,7946,NA,1093,NA,35,227,May 2016,FCBGA1667,"Laptop, Server"
Intel Xeon D-1531 @ 2.20GHz,$348.00*,9730,27.96,1513,4.35,45,216,Oct 2017,FCBGA1667,Server
Intel Xeon D-1537 @ 1.70GHz,$571.00*,7731,13.54,724,1.27,35,220,Apr 2018,FCBGA1667,Server
Intel Xeon D-1540 @ 2.00GHz,NA,10573,NA,1344,NA,45,234,Apr 2015,FCBGA1667,Server
Intel Xeon D-1541 @ 2.10GHz,NA,11069,NA,1423,NA,45,245,Mar 2016,FCBGA1667,Server
Intel Xeon D-1559 @ 1.50GHz,NA,8055,NA,877,NA,45,179,Aug 2017,FCBGA1667,Server
Intel Xeon D-1567 @ 2.10GHz,NA,14482,NA,1534,NA,65,222,Apr 2017,FCBGA1667,Server
Intel Xeon D-1587 @ 1.70GHz,NA,13950,NA,1248,NA,65,214,Jul 2016,FCBGA1667,Server
Intel Xeon D-2123IT @ 2.20GHz,$213.00*,8140,38.22,1645,7.72,60,135,Sep 2018,FCBGA2518,Server
Intel Xeon D-2141I @ 2.20GHz,$555.00*,12836,23.13,1656,2.99,65,197,Jan 2019,FCBGA2518,Server
Intel Xeon D-2143IT @ 2.20GHz,$566.00*,13816,24.41,1709,3.02,65,212,Aug 2018,FCBGA2518,Server
Intel Xeon D-2183IT @ 2.20GHz,"$1,764.00*",18627,10.56,1635,0.93,100,186,May 2018,FCBGA2518,Server
Intel Xeon E-2104G @ 3.20GHz,$193.00*,7825,40.54,1927,9.98,65,120,Oct 2018,FCLGA1151,Server
Intel Xeon E-2124G @ 3.40GHz,$213.00*,9840,46.20,2555,12.00,71,138,Nov 2018,FCLGA1151,Server
Intel Xeon E-2134 @ 3.50GHz,$256.00*,10310,40.28,2640,10.31,71,145,Jan 2019,FCLGA1151,Server
Intel Xeon E-2136 @ 3.30GHz,$284.00*,15960,56.20,2676,9.43,80,199,Nov 2018,FCLGA1151,Server
Intel Xeon E-2146G @ 3.50GHz,$311.00*,16149,51.93,2648,8.52,80,201,Aug 2018,FCLGA1151,Server
Intel Xeon E-2174G @ 3.80GHz,$379.16,12130,31.99,2655,7.00,71,170,Sep 2018,FCLGA1151,Server
Intel Xeon E-2176G @ 3.70GHz,$362.00*,15335,42.36,2613,7.22,80,191,Oct 2018,FCLGA1151,Server
Intel Xeon E-2176M @ 2.70GHz,$450.00*,13958,31.02,2516,5.59,45,310,Apr 2018,FCBGA1440,Laptop
Intel Xeon E-2186G @ 3.80GHz,$450.00*,15406,34.24,2642,5.87,95,162,Nov 2018,FCLGA1151,Server
Intel Xeon E-2186M @ 2.90GHz,$623.00*,14671,23.55,2614,4.20,45,326,Apr 2018,FCBGA1440,Laptop
Intel Xeon E3-1220 @ 3.10GHz,$190.00,6100,32.11,1708,8.99,80,76,Aug 2011,LGA1155,Server
Intel Xeon E3-1220 V2 @ 3.10GHz,$329.11,6691,20.33,1820,5.53,69,96,Jul 2012,LGA1155,Server
Intel Xeon E3-1220 v3 @ 3.10GHz,$244.50,7107,29.07,1933,7.91,80,88,Jan 2011,LGA1150,Server
Intel Xeon E3-1220 v5 @ 3.00GHz,$250.81,7740,30.86,1944,7.75,80,96,Jan 2016,FCLGA1151,Server
Intel Xeon E3-1220 v6 @ 3.00GHz,$214.99,7843,36.48,1784,8.30,72,108,Nov 2017,FCLGA1151,Server
Intel Xeon E3-1220L @ 2.20GHz,NA,3563,NA,1736,NA,20,178,May 2011,LGA1155,Server
Intel Xeon E3-1220L V2 @ 2.30GHz,NA,4419,NA,1681,NA,17,259,Mar 2014,LGA1155,Server
Intel Xeon E3-1220L v3 @ 1.10GHz,NA,2110,NA,829,NA,13,162,May 2014,LGA1150,Server
Intel Xeon E3-1225 @ 3.10GHz,$175.00*,5911,33.78,1741,9.95,95,62,Jan 2011,LGA1155,Server
Intel Xeon E3-1225 V2 @ 3.20GHz,$504.97,6883,13.63,1913,3.79,77,89,Sep 2012,LGA1155,Server
Intel Xeon E3-1225 v3 @ 3.20GHz,$458.34*,7213,15.74,2013,4.39,84,85,Jun 2013,LGA1150,Server
Intel Xeon E3-1225 v5 @ 3.30GHz,$268.04,7824,29.19,1950,7.28,80,97,Feb 2016,FCLGA1151,Server
Intel Xeon E3-1225 v6 @ 3.30GHz,$234.99,8144,34.66,2155,9.17,73,111,May 2017,FCLGA1151,Server
Intel Xeon E3-1226 v3 @ 3.30GHz,$563.00,7538,13.39,2106,3.74,84,89,Jul 2014,FCLGA1150,Server
Intel Xeon E3-1230 @ 3.20GHz,$181.00,7850,43.37,1813,10.02,80,98,Apr 2011,LGA1155,Server
Intel Xeon E3-1230 V2 @ 3.30GHz,$352.10,8856,25.15,1946,5.53,69,128,May 2012,LGA1155,Server
Intel Xeon E3-1230 v3 @ 3.30GHz,$261.66*,9313,35.59,2092,8.00,80,116,Jun 2013,LGA1150,Server
Intel Xeon E3-1230 v5 @ 3.40GHz,$411.99*,9779,23.74,2085,5.06,80,122,Jan 2016,FCLGA1151,Server
Intel Xeon E3-1230 v6 @ 3.50GHz,$259.99,9725,37.41,1937,7.45,72,135,Jun 2017,FCLGA1151,Server
Intel Xeon E3-1230L v3 @ 1.80GHz,$287.90*,7231,25.12,1588,5.52,25,289,Dec 2013,LGA1150,Server
Intel Xeon E3-1231 v3 @ 3.40GHz,$579.72,9629,16.61,2167,3.74,80,120,May 2014,FCLGA1150,Server
Intel Xeon E3-1235 @ 3.20GHz,$244.00,7680,31.48,1832,7.51,95,80,Jun 2011,LGA1155,Server
Intel Xeon E3-1235L v5 @ 2.00GHz,NA,6470,NA,1671,NA,25,258,Mar 2017,FCLGA1151,Server
Intel Xeon E3-1240 @ 3.30GHz,$244.00,7958,32.62,1830,7.50,80,99,May 2011,LGA1155,Server
Intel Xeon E3-1240 V2 @ 3.40GHz,$539.95,9139,16.93,2031,3.76,69,132,Jul 2012,LGA1155,Server
Intel Xeon E3-1240 v3 @ 3.40GHz,$384.40*,9660,25.13,2178,5.67,80,120,Jun 2013,LGA1150,Server
Intel Xeon E3-1240 v5 @ 3.50GHz,$341.67*,10391,30.41,2213,6.48,80,129,Nov 2015,FCLGA1151,Server
Intel Xeon E3-1240 v6 @ 3.70GHz,$293.78,10258,34.92,2147,7.31,72,142,Jul 2017,FCLGA1151,Server
Intel Xeon E3-1240L v3 @ 2.00GHz,NA,7513,NA,1748,NA,25,300,Feb 2015,FCLGA1150,Server
Intel Xeon E3-1240L v5 @ 2.10GHz,$278.00*,7793,28.03,1762,6.34,25,311,Sep 2017,FCLGA1151,Server
Intel Xeon E3-1241 v3 @ 3.50GHz,$775.00*,10015,12.92,2254,2.91,80,125,Sep 2014,LGA1150,Server
Intel Xeon E3-1245 @ 3.30GHz,$260.00,7995,30.75,1855,7.13,95,84,May 2011,LGA1155,Server
Intel Xeon E3-1245 V2 @ 3.40GHz,$607.59,9131,15.03,2005,3.30,77,118,May 2012,LGA1155,Server
Intel Xeon E3-1245 v3 @ 3.40GHz,$339.95*,9581,28.18,2174,6.40,84,114,Jun 2013,LGA1150,Server
Intel Xeon E3-1245 v5 @ 3.50GHz,$345.31*,10182,29.49,2135,6.19,80,127,Dec 2015,FCLGA1151,Server
Intel Xeon E3-1245 v6 @ 3.70GHz,$309.99,10553,34.04,2272,7.33,73,144,Jun 2017,FCLGA1151,Server
Intel Xeon E3-1246 v3 @ 3.50GHz,$409.00,9853,24.09,2239,5.48,84,117,Jun 2014,FCLGA1150,Server
Intel Xeon E3-1260L @ 2.40GHz,$85.62,6534,76.32,1642,19.18,45,145,Jul 2011,LGA1155,Server
Intel Xeon E3-1260L v5 @ 2.90GHz,$499.00*,10218,20.48,2163,4.33,45,227,Jun 2016,FCLGA1151,Server
Intel Xeon E3-1265L @ 2.40GHz,$918.35*,6038,6.58,1478,1.61,45,134,Jul 2015,LGA1155,Server
Intel Xeon E3-1265L V2 @ 2.50GHz,$142.42*,7739,54.35,1741,12.23,45,171,Sep 2012,LGA1155,Server
Intel Xeon E3-1265L v3 @ 2.50GHz,$709.95,9210,12.97,2134,3.01,45,204,Jan 2012,FCLGA1150,Server
Intel Xeon E3-1265L v4 @ 2.30GHz,NA,9060,NA,1832,NA,35,258,Jul 2018,FCLGA1150,Server
Intel Xeon E3-1268L v3 @ 2.30GHz,NA,7850,NA,1949,NA,45,174,Sep 2014,LGA1150,Server
Intel Xeon E3-1268L v5 @ 2.40GHz,$377.00*,8695,23.06,1750,4.64,35,248,Mar 2018,FCLGA1151,"Laptop, Server"
Intel Xeon E3-1270 @ 3.40GHz,$317.00*,8238,25.99,1917,6.05,80,102,Jun 2011,LGA1155,Server
Intel Xeon E3-1270 V2 @ 3.50GHz,$356.50,9462,26.54,2079,5.83,69,137,Jul 2012,LGA1155,Server
Intel Xeon E3-1270 v3 @ 3.50GHz,$369.99*,9899,26.76,2224,6.01,80,123,Jun 2013,LGA1150,Server
Intel Xeon E3-1270 v5 @ 3.60GHz,$374.00,10334,27.63,2169,5.80,80,129,Nov 2015,FCLGA1151,Server
Intel Xeon E3-1270 v6 @ 3.80GHz,$320.61,11135,34.73,2293,7.15,72,154,May 2017,FCLGA1151,Server
Intel Xeon E3-1271 v3 @ 3.60GHz,$888.00*,10089,11.36,2269,2.56,80,126,Aug 2014,FCLGA1150,Server
Intel Xeon E3-1275 @ 3.40GHz,$304.00,8328,27.40,1925,6.33,95,87,Apr 2011,LGA1155,Server
Intel Xeon E3-1275 V2 @ 3.50GHz,$394.72*,9447,23.93,2078,5.26,77,122,Apr 2012,LGA1155,Server
Intel Xeon E3-1275 v3 @ 3.50GHz,$400.99*,9901,24.69,2208,5.51,95,104,Jun 2013,LGA1150,Server
Intel Xeon E3-1275 v5 @ 3.60GHz,$569.00,10358,18.21,2174,3.82,80,129,Dec 2015,FCLGA1151,Server
Intel Xeon E3-1275 v6 @ 3.80GHz,$359.99,11110,30.86,2371,6.59,73,152,May 2017,FCLGA1151,Server
Intel Xeon E3-1275L v3 @ 2.70GHz,NA,8874,NA,2168,NA,45,197,Feb 2015,LGA1150,Server
Intel Xeon E3-1276 v3 @ 3.60GHz,"$1,073.00",10177,9.49,2279,2.12,84,121,Jun 2014,FCLGA1150,Server
Intel Xeon E3-1280 @ 3.50GHz,$368.00,8465,23.01,1964,5.34,95,89,Jun 2011,LGA1155,Server
Intel Xeon E3-1280 V2 @ 3.60GHz,$859.00,9448,11.00,2089,2.43,69,136,May 2012,LGA1155,Server
Intel Xeon E3-1280 v3 @ 3.60GHz,$697.36*,9765,14.00,2251,3.23,82,119,Jun 2013,LGA1150,Server
Intel Xeon E3-1280 v5 @ 3.70GHz,$690.01*,10666,15.46,2256,3.27,80,133,May 2016,FCLGA1151,Server
Intel Xeon E3-1280 v6 @ 3.90GHz,$501.79,11371,22.66,2413,4.81,72,157,Mar 2017,FCLGA1151,Server
Intel Xeon E3-1281 v3 @ 3.70GHz,$877.75*,10349,11.79,2358,2.69,82,126,Apr 2015,LGA1150,Server
